City;Inf_Clothing;Inf_Footwear;Inf_Eduaction_Services;Inf_Basic_Education;Inf_Middle_Education;Inf_Higher_Education;Inf_Household;Inf_Furnitures_Equipment;Inf_Household_Textiles;Inf_Household_Tools;Inf_Tableware;Inf_Housing_Equipment;Inf_Household_Services;Inf_Health;Inf_Health_Medicines_Products;Inf_Outpatient_Services;Inf_Inpatient_Services;Inf_Water_Electricity_Household;Inf_House_Rent;Inf_House_Maintenance;Inf_Water_Supply;Inf_Electricity_Supply;Inf_Financial_Services;Inf_Communication_Equipment;Inf_Communication_Services;Inf_Personal_Care;Inf_Food_Baverages_Services;Inf_Recreation_Sports_Culture;Inf_School_Supplies;Inf_recreation_Sport_Servoces;Inf_Transportation;Inf_Vehicle_Purchase;Inf_Personal_Transportation;Inf_Passenger_Transportation;Inf_Freight_Forwading_Services
KOTA SAMARINDA;2.414;3.294;1.536;3.408;0.54;1.116;0.484;1.841;3.013;0.587;1.059;5.57;1.253;3.496;1.456;10.342;2.475;0.646;0.998;3.413;0;0.442;0.471;2.33;0.136;3.118;1.611;1.515;1.499;0.456;1.77;2.808;0.884;8.046;5.195
TANJUNG SELOR;0.337;0.015;0;0;0;0;1.833;1.357;0.927;0.395;2.53;3.03;2.724;1.256;2.575;0;0;0.941;0.525;0.505;0;2.568;0.137;0.769;0.042;2.233;1.644;1.196;2.252;0;1.343;0.835;0.377;5.152;4.464
KAB NUNUKAN;6.474;18.984;0;0;0;0;1.033;4.086;2.356;0.954;3.327;0.998;1.336;1.071;1.852;1.458;0;0.487;0.36;0.427;0;0.887;0.774;3.934;0;1.965;6.739;1.25;3.844;0;0.742;4.222;0.3;1.187;8.454
KOTA TARAKAN;0.177;0.089;0.42;1.316;0.362;0;0.644;0.327;0.636;1.325;2.1;0.182;0.482;0.764;1.51;0.068;0;0.332;0;2.027;0;0.224;0.083;0.142;0.086;5.34;0.326;0.111;0.207;0;1.709;1.455;0.187;5.951;0.132
KAB MINAHASA SELATAN;2.332;6.006;0.128;1.36;0;0;2.942;0.699;4.548;10.262;0;4.667;1.688;2.297;5.03;1.16;0;0.467;0.45;2.007;0;0.507;0.56;3.039;0;1.69;4.481;7.517;7.916;0;0.109;0.667;0.062;0.23;0
KAB MINAHASA UTARA;2.187;7.968;0.734;1.305;0;0.974;0.703;1.122;0.933;4.165;4.45;0;0.734;1.948;2.31;0.376;6.21;0.183;0;1.329;0;0.628;0.394;3.229;0;4.005;11.492;0.86;1.927;0;0.935;3.098;0.882;0.603;2.08
KOTA MANADO;2.143;1.938;0.042;0;0;0;0.472;0.291;0.324;0.505;3.114;3.323;0.69;0.663;1.194;0;0;0.097;0.163;0.201;0;0.062;0.477;4.099;0.324;3.006;1.575;0.971;3.171;0;1.658;3.32;0.226;3.448;0
KOTA KOTAMOBAGU;0.578;1.148;4.043;2.455;3.3;6.336;0.244;1.886;0.303;1.698;0.579;0.555;1.326;1.776;3.088;0;2.6;1.339;2.994;0.617;0.248;0.586;0.287;2.002;0.366;4.467;1.357;0.711;1.91;0;1.684;2.581;1.929;0.1;0.584
LUWUK;3.292;1.124;1.222;1.728;0.28;1.32;2.462;0.485;5.023;1.734;0.694;1.793;5.241;2.479;3.144;1.989;1.372;3.092;8.646;0.836;0.359;2.27;0.175;2.369;0.538;3.498;6.268;6.584;1.892;0;2.875;2.313;1.468;7.908;3.948
KAB MOROWALI;0.266;0.995;0.096;0.267;0;0.09;0.248;1.054;0.411;0.461;0.315;0.045;0.268;0.32;0.384;0.189;0;2.588;0;0.936;0;5.894;0.251;1.03;0;1.202;0.366;0.191;0.283;0;0.266;0.107;0.376;0.709;0
